componentsubtype,componenttype,description_cost,description_id,tonnage,aura2_ams,aura2_c3,aura2_c3i,aura2_c3m,aura2_c3ms,aura2_eccm,aura2_eccm_protect,aura2_ecm,aura2_jammer,aura2_searchlight,description_details
Prototype_ElectronicWarfare,Upgrade,8000000,Gear_Sensor_Prototype_ECM,6,,,,,,,,,,,This prototype electronic warfare component recreates the capabilities of the LosTech Guardian ECM. Friendly units within its ECM field gain Missile Defense and receive a +4 bonus against missiles plus immunity to Indirect Fire. Friendly units within an ECM field are effectively cloaked and cannot be targeted. This component cannot be mounted along with the Active Probe component.
Prototype_ElectronicWarfare,Upgrade,8000000,Gear_Sensor_Prototype_ActiveProbe,6,,,,,,,,,,,"This prototype electronic warfare component recreates the capabilities of the LosTech Beagle Active Probe. When activated, the probe performs a Sensor Lock against all enemies within its radius before entering a cooldown state. This component cannot be mounted along with the ECM component."
Prototype_ElectronicWarfare,Upgrade,3000000,Gear_Queen_Carapace,1,,,,,,,,"{""rng"":190,""val"":2}","{""rng"":280,""val"":1}",,"Based on the unique HarJel Compound found on LV-426, which has the capacity to break up and absorb EM and light Waves, does the Black Carapace have self repair functionality with a basic Stealth Functionality"
Prototype_ElectronicWarfare,Upgrade,2500000,Gear_Black_Carapace,1,,,,,,,,"{""rng"":190,""val"":2}","{""rng"":280,""val"":1}",,"Based on the unique HarJel Compound found on LV-426, which has the capacity to break up and absorb EM and light Waves, does the Black Carapace have self repair functionality with a basic Stealth Functionality"
Prototype_ElectronicWarfare,Upgrade,2000000,Gear_Sensor_Prototype_EWE,7.5,,,,,,,,,,,Prototype Electronic Warfare component. Adds an ECM field that provides a passive defense against missiles and immunity to indirect fire. Friendly units in the ECM field also gain Stealth Charges and cannot be targeted by direct fire unless spotted by enemy units within the ECM field or sensor locked. The ECM carrier gains an additional Stealth Charge.  The EW Suite also adds the Active Probe ability to unit's weapons panel. Active Probe is a triggered ability that uses the firing action and performs a Sensor Lock against all enemies within range. Note: you can only equip one Prototype component on most 'Mechs.
Prototype_ElectronicWarfare,Upgrade,1458000,Gear_Nova_CEWS,1.5,,,,"{""rng"":300,""val"":1}","{""rng"":300,""val"":1}","{""rng"":190,""val"":-1}","{""rng"":300,""val"":-2}","{""rng"":190,""val"":1}","{""rng"":300,""val"":2}",,"The rogue scientists of the Society developed the Nova CEWS after hearing about the C3 Systems used by the Inner Sphere. By combining elements of the Watchdog CEWS with a C3 system, they created a tool that could find enemy forces, hide the unit using it in an ECM bubble, and automatically provide targeting data to other friendly units. In addition, the Nova CEWS didn't require pre-configuration for the C3 capability; It could be programmed on the fly to respond to availability of friendly forces."
Prototype_ElectronicWarfare,Upgrade,1458000,Gear_Society_Nova_CEWS,1.5,,,,"{""rng"":300,""val"":2}","{""rng"":300,""val"":2}","{""rng"":190,""val"":-2}","{""rng"":300,""val"":-2}","{""rng"":190,""val"":2}","{""rng"":300,""val"":3}",,"The rogue scientists of the Society developed the Nova CEWS after hearing about the C3 Systems used by the Inner Sphere. By combining elements of the Watchdog CEWS with a C3 system, they created a tool that could find enemy forces, hide the unit using it in an ECM bubble, and automatically provide targeting data to other friendly units. In addition, the Nova CEWS didn't require pre-configuration for the C3 capability; It could be programmed on the fly to respond to availability of friendly forces."
Prototype_ElectronicWarfare,Upgrade,1430000,Gear_EWS_overcharged,3,,,,,,,,"{""rng"":300,""val"":4}","{""rng"":320,""val"":4}",,"This advanced Electronics Warfare Suite is designed to mimic the more advanced Star League-era ECM, Active Probe and Targeting Computer. Containing a vast Array of Electronic Warfare Systems able to efficiently jam Enemy sensors and improving their Own."
Prototype_ElectronicWarfare,Upgrade,1370000,Special_Sensors_AR20,0,,,,,,,,"{""rng"":60,""val"":2}","{""rng"":200,""val"":1}",,The AR20 Warfare Suite is a Prototype of an Advanced Warfare Suite. Offering a variety of Electronic Counter Measures and Sensors.
Prototype_ElectronicWarfare,Upgrade,1370000,Quirk_Sensors_AR12,1,,,,,,,,"{""rng"":60,""val"":2}","{""rng"":270,""val"":4}",,"The AR-12 Sheathed Directional Beacon with Guardian ECM Suit is a Star League Cockpit and Sensor system specifically designed for the Exterminator BattleMech, combining the benefits of an Active probe with a ECM system."
