description_cost,category,componentsubtype,componenttype,description_id,description_details,damage,damage2,heatgenerated,aura2_ams,aura2_c3,aura2_c3i,aura2_c3m,aura2_c3ms,aura2_eccm,aura2_eccm_protect,aura2_ecm,aura2_jammer,aura2_searchlight,custom_bonusdescriptions
5000000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Thunderbolt_TB20_NEMP,This Thunderbolt Missile was retooled to fire a specialized NEMP Warhead disabling everything around,,,,,,,,,,,,,,"{""Bonuses"":[""Haywire"",""ImpMove: 40%"",""ImpAccuracy: -2"",""ImpHeatSink: -50%"",""TboltDamage: -100"",""HeatDamage: +50"",""AreaOfEffect: 60"",""AreaOfEffectHeatDmg: +20"",""TBOLT20Ammo: 1""]}"
1600000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_Caseless_AC20,Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunitio,,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 16%"",""AmmoDamage: -15%"",""RAC20Ammo: 10"",""Caseless"",""VolatileAmmo""]}"
1200000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_Caseless_AC10,Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunitio,,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 14%"",""AmmoDamage: -15%"",""RAC10Ammo: 16"",""Caseless"",""VolatileAmmo""]}"
1000000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Nuke_Thumper,The Davy Crockett is a compact half-kiloton nuclear device configurable for a variety of delivery sy,,,,,,,,,,,,,,"{""Bonuses"":[""Exhaust"",""ThumperAmmo: 1"",""AreaOfEffect: 240"",""AreaOfEffectDmg: 800"",""AreaOfEffectHeatDmg: 400"",""ThumperDamage: 1000"",""MineClearanceBoom: 8"",""DesignMask: Radiation"",""ScatterRadius: 60, 220"",""IsNOOK""]}"
1000000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Nuke_LongTom,The Davy Crockett is a compact half-kiloton nuclear device configurable for a variety of delivery sy,,,,,,,,,,,,,,"{""Bonuses"":[""Exhaust"",""LongTomAmmo: 1"",""AreaOfEffect: 360"",""AreaOfEffectDmg: 1250"",""AreaOfEffectHeatDmg: 500"",""WeaponDamage: +2000"",""MineClearanceBoom: 12"",""DesignMask: Radiation"",""ScatterRadius: 80, 250"",""IsNOOK""]}"
1000000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Nuke_ArrowIV,The Davy Crockett is a compact half-kiloton nuclear device configurable for a variety of delivery sy,,,,,,,,,,,,,,"{""Bonuses"":[""IsNOOK"",""Exhaust"",""ArrowIVAmmo: 1"",""AreaOfEffect: 360"",""AreaOfEffectDmg: 1250"",""AreaOfEffectHeatDmg: 500"",""ArrowIVDamage: 2000"",""MineClearanceBoom: 8"",""DesignMask: Radiation"",""ScatterRadius: 50, 180"",""MissileHP: 30""]}"
999999,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_SRMInferno,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,
800000,,Ammunition,AmmunitionBox,Ammo_Light_Rotary_Caseless_AC5,Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunitio,,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 8%"",""AmmoDamage: -10%"",""LRAC5Ammo: 50"",""Caseless"",""VolatileAmmo""]}"
800000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_Caseless_AC5,Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunitio,,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 12%"",""AmmoDamage: -15%"",""RAC5Ammo: 40"",""Caseless"",""VolatileAmmo""]}"
500000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Swarmi_LRM_half,The Swarm I(mproved) Missile System is based upon the Swarm System Carrying a Larger Payload of Smar,,,,,,,,,,,,,,"{""Bonuses"":[""LRMDamage: -60%"",""AreaOfEffect: 30"",""AreaOfEffectDmg: 3"",""DFMissileAcc: -1"",""WpnCrits: -70%"",""MissileHP: 2"",""Swarmi"",""NoAA"",""LRMAmmo: 60""]}"
